appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,scn_decision
North-West,North-West,Rape_sexual_abuse,Prison_term,1,0,1,1,1,0,4,1,0,Dismissed
South-East,South-East,Armed_robbery,Death,1,1,0,1,1,0,2,1,0,Dismissed
South-South,South-South,Damage_property,Prison_term_fine,1,1,0,10,10,0,4,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,2,0,2,1,1,0,2,0,0,Dismissed
South-East,Missing,Missing,Payment_damages,1,1,0,2,1,0,-1,0,0,Dismissed
Missing,Missing,Fraud_impersonation,Payment_damages,1,1,0,2,2,0,0,0,0,Dismissed
South-West,Missing,Armed_robbery,Death,1,1,0,1,4,0,0,0,0,Dismissed
South-West,Missing,Unlawful_possession,Missing,0,0,0,1,1,0,0,0,0,Dismissed
FCT,Missing,Missing,Missing,1,1,0,1,1,0,0,0,0,Dismissed
South-South,Missing,Armed_robbery,Prison_term,1,1,0,1,1,0,2,0,0,Dismissed
South-West,Missing,Human_rights_violation,Missing,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,1,0,1,1,1,0,2,5,3,Dismissed
FCT,Missing,Trespassing,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Rape_sexual_abuse,Prison_term,1,1,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Missing,Missing,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Missing,Missing,-1,-1,-1,3,3,0,0,0,0,Dismissed
South-West,Missing,Missing,Fine,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Missing,Missing,-1,-1,-1,2,2,0,0,0,0,Dismissed
South-South,North-Central,Unlawful_termination_appointment,Missing,-1,-1,-1,2,2,0,0,-1,-1,Dismissed
Missing,Missing,Missing,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
South-West,Missing,Missing,Missing,1,0,1,6,6,0,0,0,0,Dismissed
South-West,Missing,Missing,Missing,1,0,1,1,1,0,0,0,0,Granted
South-East,South-East,Others,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,Missing,Missing,Missing,1,1,0,1,1,0,0,0,0,Dismissed
South-West,Missing,Law_of_tort,Missing,1,1,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Others,Payment_damages,1,0,1,1,1,0,0,0,0,Dismissed
South-East,Missing,Libel,Missing,1,0,0,1,1,0,4,0,2,Dismissed
South-South,Missing,Court_order_violation,Payment_damages,0,0,0,1,0,1,0,0,0,Dismissed
South-East,Missing,Law_of_tort,Missing,1,1,0,1,1,0,0,0,0,Granted
North-East,North-Central,Missing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Others,Missing,0,0,0,0,0,0,0,0,0,Dismissed
Missing,Missing,Court_order_violation,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
North-West,Missing,Murder_manslaughter,Death,1,1,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Missing,Missing,1,0,1,1,1,0,0,0,0,Dismissed
South-South,South-South,Unlawful_termination_appointment,Missing,0,0,0,0,0,0,-1,-1,-1,Dismissed
South-South,South-East,Missing,Death,0,0,0,1,1,0,1,0,0,Dismissed
North-Central,North-East,Dispute,Missing,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Missing,Missing,1,1,0,1,0,1,0,0,0,Dismissed
South-West,Missing,Trespassing,Payment_damages,0,0,0,1,0,1,0,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Prison_term,0,0,0,1,0,1,0,0,0,Dismissed
South-South,South-South,Armed_robbery,Missing,0,0,0,0,0,0,7,0,0,Dismissed
North-West,North-West,Murder_manslaughter,Death,0,0,0,1,1,0,5,0,0,Dismissed
FCT,North-Central,Election_petition,Payment_damages,0,0,0,0,-1,-1,-1,-1,-1,Dismissed
North-West,Missing,Missing,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
North-West,Missing,Missing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Trespassing,Fine,0,0,0,5,5,0,0,0,0,Dismissed
Missing,FCT,Missing,Missing,0,0,0,5,5,0,0,0,0,Dismissed
FCT,Missing,Rape_sexual_abuse,Missing,0,0,0,3,3,0,0,0,0,Dismissed
Missing,South-West,Libel,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
Missing,FCT,Unlawful_possession,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
North-West,Missing,Unlawful_termination_appointment,Missing,0,0,0,1,1,0,0,0,0,Dismissed
FCT,North-Central,Armed_robbery,Prison_term_fine,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,Missing,Conspiracy,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Others,Missing,0,0,0,1,1,0,1,0,0,Dismissed
Missing,Missing,Others,Missing,0,0,0,1,1,0,0,0,0,Dismissed
South-West,Missing,Armed_robbery,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
FCT,Missing,Missing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
South-West,North-Central,Libel,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Election_petition,Missing,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Missing,Missing,0,0,0,1,1,0,0,0,0,Dismissed
South-West,Missing,Fraud_impersonation,Prison_term,0,0,0,1,1,0,1,0,0,Dismissed
South-South,Missing,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
FCT,Missing,Fraud_impersonation,Missing,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Law_of_tort,Missing,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Missing,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-East,Dispute,Payment_damages,0,0,0,2,2,0,0,0,0,Granted
Missing,Missing,Murder_manslaughter,Missing,0,0,0,2,2,0,1,0,0,Granted
Missing,South-West,Dispute,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Missing,Appeal_granted,-1,-1,-1,1,0,0,0,0,0,Dismissed
Missing,South-West,Missing,Appeal_granted,-1,-1,-1,3,3,0,0,0,0,Dismissed
Missing,South-West,Theft,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,South-West,Fraud_impersonation,Prison_term,0,0,0,2,1,0,7,0,1,Dismissed
South-West,South-West,Armed_robbery,Prison_term,0,0,0,1,1,0,1,0,0,Granted
South-West,Missing,Fraud_impersonation,Payment_damages,-1,-1,-1,2,0,0,0,0,0,Dismissed
Missing,South-West,Missing,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,FCT,Others,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Libel,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
Missing,South-West,Theft,Payment_damages,-1,-1,-1,2,2,0,0,0,0,Granted
South-West,Missing,Murder_manslaughter,Death,0,0,0,3,3,0,0,0,0,Dismissed
Missing,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-East,Theft,Missing,-1,-1,-1,1,2,0,0,0,0,Granted
Missing,South-West,Court_order_violation,Payment_damages,-1,-1,-1,1,0,1,0,0,0,Granted
Missing,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Conspiracy,Death,0,0,0,4,4,0,6,0,0,Dismissed
South-West,Missing,Dispute,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Dispute,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-South,South-West,Theft,Appeal_granted,-1,-1,-1,1,1,0,0,0,4,Dismissed
Missing,Missing,Missing,Payment_damages,-1,-1,-1,-1,-1,0,0,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-East,Fraud_impersonation,Prison_term,-1,-1,-1,1,1,0,0,0,0,Dismissed
FCT,North-Central,Others,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-West,North-Central,Election_petition,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
North-West,North-West,Election_petition,Payment_damages,-1,-1,-1,3,3,0,0,0,0,Dismissed
North-West,North-West,Election_petition,Payment_damages,-1,-1,-1,4,3,0,0,0,0,Granted
North-West,North-West,Missing,Missing,-1,-1,-1,1,1,0,0,0,0,Dismissed
FCT,FCT,Election_petition,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Dispute,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
FCT,FCT,Missing,Missing,-1,-1,-1,2,2,2,0,0,0,Granted
Missing,North-West,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,1,Dismissed
Missing,North-Central,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Conspiracy,Prison_term,-1,-1,-1,2,2,0,0,0,0,Dismissed
North-Central,North-Central,Law_of_tort,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Law_of_tort,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Dispute,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,South-West,Fraud_impersonation,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Theft,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,South-South,Armed_robbery,Prison_term,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,North-East,Murder_manslaughter,Death,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-South,Curroption_abuse_office,Prison_term_fine,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-South,Others,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Law_of_tort,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-South,Missing,Others,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
FCT,FCT,Election_petition,Appeal_granted,-1,-1,-1,2,1,0,0,0,0,Granted
South-East,South-East,Claim_for_recovery,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Theft,Payment_damages,-1,-1,-1,2,2,0,0,0,0,Granted
Missing,Missing,Claim_for_recovery,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,North-Central,Claim_for_recovery,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Claim_for_recovery,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-West,Missing,Claim_for_recovery,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-South,Missing,Claim_for_recovery,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Law_of_tort,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-East,Theft,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-South,South-East,Theft,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-South,Missing,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
Missing,South-East,Claim_for_recovery,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
